station_name,date,time,year,month,day,hour,precip_amt,pressure,rel_hum,temp,temp_dew,wind_dir,wind_spd
NORMANDIN,2020-05-05,2020-05-05 17:00,2020,5,5,17:00,0,99.45,55,7.7,-0.7,34,15
NORMANDIN,2020-05-05,2020-05-05 18:00,2020,5,5,18:00,0,99.49,51,7.8,-1.8,34,17
NORMANDIN,2020-05-05,2020-05-05 19:00,2020,5,5,19:00,0,99.52,60,6.3,-1,32,14
NORMANDIN,2020-05-05,2020-05-05 20:00,2020,5,5,20:00,0,99.58,63,4.4,-2.1,32,13
NORMANDIN,2020-05-05,2020-05-05 21:00,2020,5,5,21:00,0,99.59,65,3.3,-2.7,31,14
NORMANDIN,2020-05-05,2020-05-05 22:00,2020,5,5,22:00,0,99.59,72,1.9,-2.6,30,11
NORMANDIN,2020-05-05,2020-05-05 23:00,2020,5,5,23:00,0,99.6,75,1.3,-2.5,33,8
NORMANDIN,2020-05-06,2020-05-06 0:00,2020,5,6,0:00,0,99.57,77,0,-3.5,30,9
NORMANDIN,2020-05-06,2020-05-06 1:00,2020,5,6,1:00,0,99.54,78,0.1,-3.4,29,14
NORMANDIN,2020-05-06,2020-05-06 2:00,2020,5,6,2:00,0,99.53,75,0.2,-3.7,30,12
NORMANDIN,2020-05-06,2020-05-06 3:00,2020,5,6,3:00,0,99.53,75,-0.2,-4.1,29,14
NORMANDIN,2020-05-06,2020-05-06 4:00,2020,5,6,4:00,0,99.54,75,-1,-4.8,29,16
NORMANDIN,2020-05-06,2020-05-06 5:00,2020,5,6,5:00,0,99.57,73,-1.2,-5.3,28,16
NORMANDIN,2020-05-06,2020-05-06 6:00,2020,5,6,6:00,0,99.6,62,0.4,-6,29,18
NORMANDIN,2020-05-06,2020-05-06 7:00,2020,5,6,7:00,0,99.61,53,2.3,-6.2,30,17
NORMANDIN,2020-05-06,2020-05-06 8:00,2020,5,6,8:00,0,99.61,47,4.1,-6.1,31,19
NORMANDIN,2020-05-06,2020-05-06 9:00,2020,5,6,9:00,0,99.57,44,5,-6.3,30,18
NORMANDIN,2020-05-06,2020-05-06 10:00,2020,5,6,10:00,0,99.52,37,6.4,-7.2,30,19
NORMANDIN,2020-05-06,2020-05-06 11:00,2020,5,6,11:00,0,99.45,38,7.5,-5.9,30,22
NORMANDIN,2020-05-06,2020-05-06 12:00,2020,5,6,12:00,0,99.4,26,8.5,-10.1,33,19
NORMANDIN,2020-05-06,2020-05-06 13:00,2020,5,6,13:00,0,99.37,34,9.1,-5.8,33,20
NORMANDIN,2020-05-06,2020-05-06 14:00,2020,5,6,14:00,0,99.34,28,9.7,-8.1,32,20
NORMANDIN,2020-05-06,2020-05-06 15:00,2020,5,6,15:00,0,99.28,28,10,-7.6,32,18
NORMANDIN,2020-05-06,2020-05-06 16:00,2020,5,6,16:00,0,99.25,28,9.8,-7.9,35,22
NORMANDIN,2020-05-06,2020-05-06 17:00,2020,5,6,17:00,0,99.22,28,9.7,-7.8,31,17
NORMANDIN,2020-05-06,2020-05-06 18:00,2020,5,6,18:00,0,99.23,33,8.8,-6.5,32,16
NORMANDIN,2020-05-06,2020-05-06 19:00,2020,5,6,19:00,0,99.26,46,6.3,-4.6,34,11
NORMANDIN,2020-05-06,2020-05-06 20:00,2020,5,6,20:00,0,99.29,49,4.1,-5.7,33,10
NORMANDIN,2020-05-06,2020-05-06 21:00,2020,5,6,21:00,0,99.28,62,2.1,-4.4,32,10
NORMANDIN,2020-05-06,2020-05-06 22:00,2020,5,6,22:00,0,99.23,55,2.1,-5.9,31,14
NORMANDIN,2020-05-06,2020-05-06 23:00,2020,5,6,23:00,0,99.18,67,0.5,-4.9,32,8
